,Sentence,Label
904,problem ear loops made weak material break easily,0
905,nearly good looking amazon picture makes look,0
906,despite flaws case exceptional quality well worth additional costs owning official oem product,1
907,stupid,0
908,hear driving car usually even put loudest setting,1
909,seller shipped quickly much cheaper competitors,1
910,good show samsung,1
911,bought 10 saved alot money,1
912,always cuts makes beep beep beep sound says signal failed,0
913,figure,0
914,phone sounded ok great ok wife phone almost totally unintelligible understand word said,0
915,take battery phone put back together restart,0
916,managed bend leaf spring back place metal enough stress break next drop,0
917,leopard print wonderfully wild,1
918,works,1
919,saggy floppy piece junk,0
920,much better hard plastic cases,1
921,also new problem,0
922,happy far,1
923,cool phone,1
924,works good,1
925,motorola finally got voice quality bluetooth headset right,1
926,looses connection phone even within couple feet two,0
927,great would really recommend,1
928,makes easier keep bluetooth wearing,0
929,said pretty useless,0
930,never got,0
931,pair headphones worst ever sound wise,0
932,drain weak snap,0
933,charge cingular att 8525 phone,0
934,get extra minutes carry call get cut,1
935,however year fliptop started get loose wobbly eventually screen went black receive place calls,0
936,kept catching cable seat pull phone turn,0
937,headset fulfills requirements happy purchase,1
938,logitech bluetooth headset 10,1
939,like fact rests lightly ear rather inside,1
940,lot websites rating good phone,1
941,tried cables computer ipod works fine,1
942,mic joke volume quite low,0
943,returning,0
944,maintain connection computer lap,0
945,easy turn car volume controls quite accessable,1
946,mine year christmas bought rest family,1
947,otherwise easy install use clear sound,1
948,nice leather,1
949,purchase different case,0
950,joy use,1
951,much disappointed company,0
952,satisifed,1
953,charge,0
954,phone get 2005 bought s710a say wow,1
955,buttons small,0
956,reading specs alone makes say wow,1
957,love great armband,1
958,really like product motorola allot clearer ear piece mic,1
959,however keypads tinny sometimes reach wrong buttons,0
960,exchanged sony ericson z500a pretty happy decision,1
961,impressed price cases,1
962,also makes easier hold,1
963,use product motor control center lot high voltage humming equipment works great,1
964,pretty easy,1
965,cannot make calls certain places,0
966,however girl complain time phone wake like normal phone,0
967,beautiful styling though,1
968,company charge restocking fee still given refund back,0
969,trying return refund,0
970,plugged find darn thing worked,0
971,excellent product,1
972,earbud piece breaks easily,0
973,lousy product,0
974,phone tries hard everything fails ability phone,0
975,best charger seen market yet,1
976,sweetest phone,1
977,oh charger seems work fine,1
978,fits securely ear hook even need used sound better directed ear canal,1
979,enough volume,0
980,echo problem unsatisfactory,0
981,could take 2 videos time quality poor,0
982,waste money,0
983,going first negatively review product,0
984,adapter provide enough charging current,0
985,much hype phone assumed best mistake,0
986,also cannot take pictures case lense covered,0
987,phone falls easily,0
988,work people hear talk,0
989,text messaging feature really tricky use,0
990,really disappointed charger work,0
991,painful ear,0
992,lasted one day blew,0
993,disappointed,0
994,kind flops around,0
995,screen get smudged easily touches ear face,0
996,piece junk lose calls phone,0
997,item match picture,0
998,thing disappoint infra red port irda,0
999,answer calls unit never worked,0
